a03        english        16        78 
 b05        english        28        84 
 b03        english        41        63 
 d06        physics        32        73 
 a07        physics        29        69 
 c08        pol sc        54        69 
 d01        pol sc        69        62 
 b02        history        64        73 
 c06        history        34        91 
 a03        chemistry        62        76 
 d06        chemistry        39        81 
 b02        geography        45        97 
 c08        geography        61        85
